                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.80433,                0.39983,                0.24898,                0.96525,                0.96754,                0.98245,                0.75341,                0.90843,                0.38907,                0.24894,              0.0062875,              0.0062875,              0.0062875
                     78,                0.79997,                0.39381,                0.24805,                0.97435,                0.96963,                0.98377,                0.75139,                0.89598,                0.39117,                 0.2492,               0.006238,               0.006238,               0.006238
                     79,                0.79641,                0.39597,                0.24834,                 0.9788,                0.96679,                0.98512,                0.75476,                0.90939,                0.38578,                 0.2496,              0.0061885,              0.0061885,              0.0061885
                     80,                0.78212,                0.38849,                0.24852,                0.97886,                0.96754,                0.98586,                0.76022,                0.88459,                0.38525,                0.24535,               0.006139,               0.006139,               0.006139
                     81,                0.79334,                0.39234,                0.24659,                0.97041,                0.96126,                0.98271,                0.75521,                0.89599,                0.38142,                 0.2468,              0.0060895,              0.0060895,              0.0060895
                     82,                 0.7917,                0.39302,                0.24818,                0.97924,                0.96859,                0.98684,                0.75966,                0.90066,                0.38032,                0.24819,                0.00604,                0.00604,                0.00604
                     83,                0.79278,                0.38908,                0.24861,                0.97549,                0.96545,                0.98403,                0.75981,                0.89038,                0.37701,                0.24683,              0.0059905,              0.0059905,              0.0059905
                     84,                0.78217,                0.38597,                 0.2493,                0.97787,                0.96545,                0.98646,                0.76023,                0.88409,                0.37775,                0.24544,               0.005941,               0.005941,               0.005941
                     85,                0.78592,                0.38655,                0.24532,                0.97882,                0.96796,                0.98417,                0.75949,                0.88615,                0.37877,                0.24636,              0.0058915,              0.0058915,              0.0058915
                     86,                0.77517,                0.38315,                0.24507,                0.98503,                0.97277,                0.98843,                0.75669,                0.90135,                0.37959,                0.24956,               0.005842,               0.005842,               0.005842
                     87,                0.79466,                0.39118,                0.24817,                 0.9758,                0.97127,                0.98758,                 0.7623,                0.88803,                0.37643,                0.24686,              0.0057925,              0.0057925,              0.0057925
                     88,                0.78102,                0.39017,                0.24885,                0.98105,                0.97578,                0.98705,                0.76123,                0.89175,                0.37524,                0.24552,               0.005743,               0.005743,               0.005743
                     89,                0.77642,                0.38263,                0.24621,                0.95956,                0.97173,                 0.9859,                0.76095,                0.88467,                0.37502,                0.24678,              0.0056935,              0.0056935,              0.0056935
                     90,                0.76573,                0.38079,                0.24609,                0.97439,                 0.9644,                0.98524,                0.75842,                0.89584,                0.37677,                0.24602,               0.005644,               0.005644,               0.005644
                     91,                0.77733,                0.38271,                0.24823,                0.97829,                0.96859,                 0.9858,                0.76488,                0.88402,                  0.374,                0.24865,              0.0055945,              0.0055945,              0.0055945
                     92,                0.77789,                0.38223,                0.24378,                0.98214,                0.97696,                0.99042,                0.76667,                0.87987,                0.36775,                0.24455,               0.005545,               0.005545,               0.005545
                     93,                0.74819,                0.37105,                0.24308,                0.97478,                0.97153,                0.98795,                0.76788,                0.87639,                0.37204,                0.24603,              0.0054955,              0.0054955,              0.0054955
                     94,                0.77422,                0.37962,                0.24394,                0.98439,                0.96649,                0.98885,                0.76263,                0.88551,                0.37289,                 0.2434,               0.005446,               0.005446,               0.005446
                     95,                0.76431,                0.37411,                0.24556,                0.98086,                0.96606,                0.98403,                 0.7655,                0.87141,                0.37117,                0.24535,              0.0053965,              0.0053965,              0.0053965
                     96,                0.75794,                0.37297,                0.24335,                0.98084,                0.96963,                0.98665,                0.76221,                0.87711,                0.36888,                 0.2473,               0.005347,               0.005347,               0.005347
                     97,                0.76821,                0.37952,                0.24681,                0.96694,                 0.9801,                0.98769,                0.75925,                0.87918,                0.36835,                0.24511,              0.0052975,              0.0052975,              0.0052975
                     98,                0.76206,                0.37089,                 0.2437,                0.98791,                0.97382,                0.98806,                0.76299,                0.87598,                0.36501,                 0.2445,               0.005248,               0.005248,               0.005248
                     99,                0.74601,                0.37322,                0.24191,                0.98608,                0.96454,                 0.9861,                0.76255,                0.87443,                0.36642,                0.24323,              0.0051985,              0.0051985,              0.0051985
