epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,7016.74,0.92347,0.49605,1.05348,0.96716,0.9623,0.97955,0.70522,0.96401,0.43122,1.02113,0.004456,0.004456,0.004456
114,7078.61,0.90295,0.47557,1.04465,0.97546,0.95079,0.98299,0.70402,0.96671,0.43402,1.02254,0.0044065,0.0044065,0.0044065
115,7140.45,0.91055,0.47999,1.04212,0.96269,0.9623,0.98162,0.70323,0.95127,0.43056,1.00845,0.004357,0.004357,0.004357
116,7202.31,0.92937,0.49066,1.04564,0.96146,0.96654,0.98269,0.70769,0.94326,0.42671,1.00298,0.0043075,0.0043075,0.0043075
117,7264.11,0.90329,0.47303,1.03917,0.97552,0.95987,0.98329,0.7059,0.94606,0.42856,1.00781,0.004258,0.004258,0.004258
118,7325.87,0.91768,0.48178,1.04199,0.97349,0.96113,0.98212,0.71086,0.9507,0.42703,1.01475,0.0042085,0.0042085,0.0042085
119,7387.86,0.91453,0.48361,1.04574,0.97433,0.95374,0.98231,0.7119,0.94399,0.41748,1.00557,0.004159,0.004159,0.004159
120,7449.58,0.89317,0.47125,1.03783,0.97744,0.95262,0.98164,0.70684,0.96358,0.425,1.01638,0.0041095,0.0041095,0.0041095
121,7511.53,0.90297,0.48205,1.04412,0.9634,0.9644,0.97735,0.7103,0.95001,0.4212,1.0064,0.00406,0.00406,0.00406
122,7573.51,0.89926,0.47475,1.04221,0.97744,0.95264,0.98139,0.71069,0.9444,0.4162,1.00474,0.0040105,0.0040105,0.0040105
123,7635.5,0.89732,0.46663,1.03815,0.97619,0.96126,0.98439,0.71489,0.93999,0.41334,1.0083,0.003961,0.003961,0.003961
124,7697.29,0.88601,0.47309,1.03397,0.98316,0.95393,0.9846,0.7147,0.93669,0.42086,0.99864,0.0039115,0.0039115,0.0039115
125,7759.16,0.88985,0.47652,1.03374,0.98033,0.95916,0.98306,0.71691,0.93913,0.41737,1.00103,0.003862,0.003862,0.003862
126,7821.15,0.89711,0.46847,1.03677,0.97748,0.95602,0.98254,0.71697,0.93879,0.41608,1.00572,0.0038125,0.0038125,0.0038125
127,7883.57,0.89161,0.47393,1.03105,0.97146,0.96248,0.98236,0.70951,0.95071,0.42055,1.0088,0.003763,0.003763,0.003763
128,7945.55,0.87718,0.46292,1.02754,0.9704,0.9612,0.98109,0.70952,0.94446,0.42106,1.01162,0.0037135,0.0037135,0.0037135
129,8008.18,0.87119,0.46017,1.03309,0.97966,0.95818,0.98429,0.71488,0.93365,0.41879,1.00086,0.003664,0.003664,0.003664
130,8070.32,0.88512,0.47033,1.02987,0.97842,0.95707,0.98324,0.71247,0.93644,0.41136,1.00329,0.0036145,0.0036145,0.0036145
131,8132.35,0.87608,0.45783,1.02351,0.98069,0.95699,0.98422,0.71206,0.94023,0.41053,1.00698,0.003565,0.003565,0.003565
132,8194.62,0.87729,0.46214,1.03001,0.97871,0.96021,0.98307,0.71584,0.93428,0.4104,1.0045,0.0035155,0.0035155,0.0035155
133,8257.19,0.8882,0.46046,1.0277,0.97753,0.97173,0.98334,0.71631,0.93094,0.40668,1.00118,0.003466,0.003466,0.003466
134,8319.41,0.87186,0.45717,1.02422,0.98264,0.94826,0.97742,0.71314,0.93518,0.41849,1.0066,0.0034165,0.0034165,0.0034165
