               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  69,              1.4406,             0.85742,              1.4377,              0.9684,             0.92356,             0.96631,             0.66978,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  70,              1.4377,             0.86472,              1.4592,             0.96487,             0.93298,             0.97343,             0.66609,                   0,                   0,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,              1.4374,             0.86019,              1.4523,             0.97284,             0.93781,              0.9705,             0.67202,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  72,              1.4171,             0.83258,              1.4248,             0.96504,             0.93403,             0.96879,             0.66808,                   0,                   0,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,              1.4066,              0.8301,              1.4365,             0.96599,             0.93927,             0.97321,             0.67244,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  74,              1.4156,             0.85171,              1.4475,             0.96737,             0.93118,             0.96667,             0.66724,                   0,                   0,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,              1.2894,             0.76305,              1.3742,             0.95773,             0.93822,             0.96883,             0.67287,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  76,              1.4214,             0.84721,              1.4552,             0.96833,             0.92837,             0.96748,             0.66584,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,              1.4059,             0.84628,              1.4393,             0.96282,             0.92192,             0.96578,             0.67383,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  78,              1.4071,             0.81846,              1.4231,             0.96235,             0.93681,             0.96848,             0.67179,                   0,                   0,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,              1.4047,             0.81411,               1.428,             0.96838,                0.93,             0.96915,             0.66908,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  80,              1.3961,             0.82684,              1.4296,             0.96365,             0.94377,              0.9755,             0.67987,                   0,                   0,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,              1.3903,             0.83316,              1.4344,             0.96508,             0.94555,             0.97272,             0.67758,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  82,              1.3999,             0.83573,              1.4168,             0.96582,             0.94669,             0.97747,             0.68457,                   0,                   0,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,              1.3787,             0.81236,              1.4307,             0.97471,             0.92461,             0.97074,             0.67644,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  84,              1.3774,             0.80776,              1.4324,             0.96205,             0.92909,             0.96543,             0.68091,                   0,                   0,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,              1.3727,             0.80482,               1.418,             0.96449,             0.93858,             0.97479,             0.68217,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  86,              1.3713,             0.80932,              1.4254,             0.97396,             0.93988,             0.97654,             0.68089,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,              1.3689,             0.80749,              1.4234,             0.97112,             0.93508,             0.96877,              0.6825,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  88,              1.3859,             0.82154,              1.4352,             0.97411,             0.94543,             0.97815,             0.68488,                   0,                   0,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,              1.3612,              0.7907,              1.4162,             0.96141,             0.95079,             0.97733,              0.6886,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  90,              1.3574,             0.77655,               1.405,             0.96808,             0.95284,             0.97746,             0.69308,                   0,                   0,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,              1.3548,             0.77724,              1.4095,              0.9687,             0.93993,             0.97569,             0.68394,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  92,              1.3669,             0.79838,              1.4183,              0.9612,             0.95968,             0.98027,             0.68638,                   0,                   0,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,               1.352,             0.79028,              1.4163,             0.96849,              0.9445,             0.97362,             0.68653,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  94,              1.3339,             0.76812,              1.3939,             0.95769,             0.94974,             0.97494,             0.68556,                   0,                   0,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,              1.3362,              0.7817,              1.4043,             0.97725,             0.93613,             0.97745,             0.69334,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  96,              1.3369,             0.76348,              1.3907,             0.96587,             0.94825,             0.97664,             0.68829,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,               1.336,             0.75105,              1.3899,             0.97406,             0.94241,             0.97841,             0.68823,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  98,              1.3424,             0.77915,              1.4054,             0.95759,             0.95812,              0.9789,              0.6899,                   0,                   0,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,              1.3497,             0.77856,              1.3963,             0.96163,             0.94478,             0.97504,             0.68823,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 100,              1.3218,             0.76361,               1.383,               0.973,             0.94332,             0.97771,             0.68957,                   0,                   0,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,              1.3377,             0.76964,              1.3978,             0.96648,             0.94764,             0.97736,             0.69122,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 102,              1.3141,              0.7448,              1.3695,             0.97693,             0.94974,             0.98118,             0.68666,                   0,                   0,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,              1.3253,             0.76361,              1.3935,             0.97104,             0.94809,             0.97848,             0.69024,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 104,              1.3267,             0.74486,              1.3903,             0.96332,             0.96247,             0.98017,             0.69509,                   0,                   0,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,              1.3063,             0.75636,              1.3773,             0.96886,              0.9466,             0.97571,             0.68842,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                 106,              1.3169,             0.74543,              1.3747,             0.97314,             0.94828,              0.9799,              0.6936,                   0,                   0,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,              1.3001,             0.73579,               1.375,             0.96995,             0.94974,             0.97779,             0.69802,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 108,              1.3148,             0.75796,              1.3855,             0.97732,              0.9474,             0.97926,             0.69654,                   0,                   0,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,              1.3026,             0.74041,              1.3748,               0.978,             0.95393,             0.98154,             0.69441,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 110,              1.2848,             0.73107,               1.367,             0.96909,             0.95219,             0.97688,             0.68943,                   0,                   0,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,              1.2871,             0.72807,              1.3638,             0.97723,             0.94357,             0.98042,             0.69779,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                 112,              1.2955,             0.74325,              1.3828,             0.97627,             0.94555,             0.97869,             0.69726,                   0,                   0,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,              1.3041,             0.72874,              1.3763,             0.96532,             0.95497,             0.98049,             0.69713,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                 114,              1.2834,              0.7265,              1.3663,             0.96812,             0.95497,             0.97986,             0.69492,                   0,                   0,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,              1.2773,             0.73004,              1.3608,             0.98223,             0.94241,             0.98025,             0.69321,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                 116,              1.2747,             0.70935,              1.3631,             0.96796,             0.94908,             0.97927,             0.69176,                   0,                   0,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,               1.275,             0.71379,              1.3569,             0.96489,             0.94963,             0.97996,             0.69483,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                 118,              1.2661,             0.70539,              1.3512,             0.97224,             0.95346,             0.98032,             0.69821,                   0,                   0,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,              1.2801,             0.71724,              1.3547,             0.96791,             0.95916,             0.98261,               0.698,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                 120,              1.2708,             0.70797,              1.3495,             0.96624,             0.95707,             0.97929,             0.69766,                   0,                   0,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,              1.2707,             0.70362,              1.3517,             0.97022,             0.95079,             0.97932,             0.69626,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                 122,              1.2756,             0.70658,              1.3536,             0.97946,              0.9466,             0.98102,              0.6972,                   0,                   0,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,              1.2667,             0.71096,              1.3493,             0.97732,             0.95602,             0.98236,             0.69779,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                 124,              1.2683,             0.71479,              1.3437,             0.96651,             0.96698,             0.98283,             0.69985,                   0,                   0,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,              1.2723,             0.70817,              1.3663,             0.97075,              0.9623,             0.98281,             0.70163,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                 126,              1.2469,             0.69643,              1.3565,             0.97635,             0.95094,             0.98156,              0.7041,                   0,                   0,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,              1.2666,             0.69362,              1.3514,             0.97055,             0.96624,             0.98259,             0.70331,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                 128,              1.2456,             0.71708,              1.3391,              0.9768,              0.9623,             0.98117,             0.70123,                   0,                   0,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,              1.2385,             0.68525,              1.3337,             0.97522,             0.96335,             0.98187,             0.70452,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                 130,              1.2256,             0.67041,              1.3455,             0.97644,             0.95491,             0.98088,             0.70274,                   0,                   0,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,              1.2443,             0.69129,              1.3504,             0.97433,             0.95404,             0.98138,             0.70755,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                 132,              1.2184,             0.66534,              1.3309,              0.9783,             0.95183,             0.98155,             0.70661,                   0,                   0,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,              1.2332,             0.67885,              1.3415,             0.97321,             0.95096,             0.98171,             0.70614,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                 134,              1.2521,             0.68459,              1.3379,             0.97037,             0.96028,             0.98261,             0.70939,                   0,                   0,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,              1.2243,             0.67879,              1.3432,             0.97043,             0.96217,             0.98323,             0.70798,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                 136,              1.2257,              0.6776,              1.3381,              0.9758,             0.95602,             0.98324,             0.71014,                   0,                   0,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,              1.2358,             0.67896,              1.3388,             0.97254,              0.9644,             0.98296,             0.70843,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                 138,              1.2031,             0.65613,              1.3184,             0.97364,              0.9623,             0.98197,             0.70939,                   0,                   0,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,              1.2416,             0.67315,              1.3227,             0.98398,             0.96487,             0.98431,             0.71077,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                 140,              1.2221,             0.66671,              1.3171,             0.97664,             0.96126,             0.98343,             0.71073,                   0,                   0,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,              1.2141,             0.66501,              1.3297,              0.9776,             0.95947,             0.98343,             0.70489,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                 142,              1.2129,             0.66851,               1.334,             0.97515,             0.96335,             0.98292,             0.70732,                   0,                   0,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,              1.2058,              0.6621,              1.3215,             0.97457,             0.96326,             0.98278,             0.70712,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                 144,              1.2157,              0.6485,              1.3184,              0.9742,             0.95079,             0.98099,             0.70775,                   0,                   0,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,               1.208,             0.64964,              1.3161,             0.97962,             0.95183,             0.98251,             0.70736,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                 146,              1.2005,             0.65425,              1.3173,             0.97955,             0.95321,             0.98259,             0.70817,                   0,                   0,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,              1.1911,             0.65722,              1.3152,             0.97858,             0.96126,              0.9836,             0.70828,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                 148,              1.2058,             0.67095,               1.311,             0.98124,             0.95916,             0.98305,             0.70974,                   0,                   0,                   0,           0.0027235,           0.0027235,           0.0027235
