                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0878,                0.63494,                 1.1702,                 1.3336,                0.66642,                 1.1375,                0.83903,                0.92251,                0.87434,                0.56991,                 1.0563,                0.56796,                 1.0718,                 1.2151,                0.80364,                 1.0909,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0884,                0.61588,                 1.1591,                 1.3443,                0.64117,                 1.1313,                0.90166,                0.91309,                0.91569,                0.59793,                 1.0822,                0.54747,                 1.0934,                 1.2236,                 0.5959,                 1.0916,               0.007723,               0.007723,               0.007723
                     49,                 1.0965,                0.62743,                  1.171,                 1.3374,                0.63864,                 1.1373,                0.87788,                0.90576,                0.88951,                0.56847,                 1.1008,                0.57155,                  1.105,                 1.2604,                0.71906,                 1.1068,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1041,                 0.6298,                 1.1519,                 1.3455,                0.65646,                 1.1211,                0.91886,                0.90576,                0.93359,                0.61909,                 1.0714,                0.54938,                 1.0816,                 1.2065,                0.55262,                  1.085,               0.007624,               0.007624,               0.007624
                     51,                 1.0702,                0.61644,                 1.1495,                 1.3227,                 0.6255,                 1.1215,                0.93738,                0.90366,                0.95363,                0.63767,                 1.0546,                0.52364,                 1.0856,                  1.206,                0.51262,                 1.0973,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0778,                0.61962,                 1.1542,                 1.3211,                0.63334,                 1.1312,                0.93588,                0.87112,                0.94324,                0.61728,                 1.0881,                0.55731,                 1.0992,                 1.2445,                0.52955,                 1.0998,               0.007525,               0.007525,               0.007525
                     53,                 1.0718,                0.60525,                 1.1393,                 1.3243,                0.60541,                 1.1132,                0.90858,                0.89319,                0.91394,                0.61159,                   1.04,                0.53257,                 1.0732,                 1.1885,                0.60676,                 1.0752,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0571,                0.60487,                 1.1332,                 1.3161,                0.60818,                  1.106,                0.91888,                0.91728,                0.94771,                0.63261,                 1.0713,                0.53227,                 1.0764,                 1.2191,                0.49164,                 1.0808,               0.007426,               0.007426,               0.007426
                     55,                 1.0654,                0.60713,                 1.1559,                 1.3197,                0.60834,                 1.1261,                0.94307,                0.90205,                0.94795,                0.62933,                 1.0717,                0.51173,                 1.0852,                 1.2148,                0.49951,                 1.0885,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0607,                 0.5908,                 1.1439,                 1.3148,                0.59833,                 1.1126,                0.90702,                0.90681,                0.93776,                0.61825,                  1.078,                0.52785,                 1.0988,                  1.222,                0.53601,                 1.0931,               0.007327,               0.007327,               0.007327
                     57,                 1.0462,                0.59002,                 1.1364,                 1.3068,                 0.6146,                 1.1095,                0.92494,                0.92147,                 0.9421,                0.62279,                 1.0639,                0.52016,                 1.0749,                 1.2069,                0.54683,                 1.0671,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0534,                0.58206,                 1.1318,                 1.3008,                0.59511,                 1.1043,                0.93251,                0.92565,                0.95257,                0.64151,                 1.0272,                 0.4958,                 1.0523,                 1.1776,                0.48911,                 1.0551,               0.007228,               0.007228,               0.007228
                     59,                 1.0504,                0.59078,                 1.1231,                 1.3047,                0.60993,                 1.0964,                0.93474,                0.91518,                0.94959,                0.63573,                 1.0558,                0.52016,                 1.0759,                 1.2035,                0.50198,                 1.0752,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0429,                0.58917,                 1.1294,                 1.2949,                0.61485,                 1.1066,                0.89627,                0.90681,                0.92395,                0.62252,                 1.0558,                0.51374,                  1.066,                 1.1789,                0.54688,                 1.0595,               0.007129,               0.007129,               0.007129
                     61,                 1.0236,                0.57308,                 1.1236,                 1.2862,                0.59729,                 1.0959,                0.94176,                0.90681,                0.95056,                0.64092,                 1.0176,                0.49349,                 1.0645,                 1.1701,                0.49066,                 1.0669,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0327,                0.59183,                 1.1274,                  1.289,                0.60828,                 1.1025,                0.93546,                0.90262,                0.94331,                0.63168,                 1.0287,                 0.4935,                 1.0649,                 1.1751,                0.51925,                 1.0643,                0.00703,                0.00703,                0.00703
                     63,                 1.0405,                0.58598,                 1.1246,                 1.2919,                0.61212,                  1.097,                0.93721,                0.92211,                0.95614,                0.63764,                 1.0509,                0.50637,                 1.0719,                 1.2022,                0.49903,                 1.0765,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0205,                0.57089,                 1.1204,                 1.2773,                0.60333,                 1.1007,                0.90191,                0.93927,                0.93779,                0.62653,                 1.0235,                0.49766,                 1.0515,                 1.1811,                 0.5312,                 1.0618,               0.006931,               0.006931,               0.006931
                     65,                 1.0185,                0.56456,                 1.1198,                 1.2728,                0.59144,                 1.0989,                 0.9266,                0.92537,                0.95656,                0.65146,                 1.0297,                0.49287,                  1.057,                 1.1646,                0.49432,                 1.0548,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0255,                0.56667,                 1.1115,                 1.2751,                0.57597,                 1.0856,                0.92878,                0.91518,                0.94428,                0.63591,                 1.0298,                0.48756,                 1.0579,                 1.1721,                0.47902,                 1.0523,               0.006832,               0.006832,               0.006832
                     67,                 1.0235,                 0.5685,                 1.1205,                 1.2875,                0.57555,                 1.1002,                0.95873,                0.92443,                0.96563,                0.65274,                 1.0164,                 0.4849,                 1.0452,                 1.1745,                0.43707,                 1.0514,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0148,                0.56106,                 1.1012,                 1.2751,                0.57105,                 1.0845,                0.94209,                0.91986,                 0.9572,                0.63726,                 1.0336,                0.49367,                 1.0537,                 1.1834,                 0.4653,                 1.0483,               0.006733,               0.006733,               0.006733
                     69,                 1.0298,                0.56598,                 1.1302,                 1.2817,                0.58732,                 1.1001,                0.92605,                0.93089,                0.94601,                 0.6419,                 1.0161,                0.48062,                 1.0555,                 1.1714,                0.47836,                  1.056,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0237,                0.56019,                 1.1051,                 1.2841,                0.57884,                  1.074,                0.94361,                0.91116,                0.95246,                0.65196,                 1.0301,                0.49609,                 1.0522,                 1.1868,                0.46539,                 1.0604,               0.006634,               0.006634,               0.006634
                     71,                0.98039,                0.54105,                 1.0926,                 1.2372,                0.55922,                 1.0708,                0.92472,                 0.9261,                0.94459,                0.63824,                 1.0164,                0.47723,                  1.056,                  1.174,                0.47622,                 1.0528,              0.0065845,              0.0065845,              0.0065845
                     72,                0.99633,                0.55057,                 1.1066,                 1.2452,                0.57356,                 1.0826,                0.94278,                0.93171,                 0.9657,                0.64674,                 1.0367,                0.49473,                 1.0617,                 1.1748,                0.48989,                 1.0497,               0.006535,               0.006535,               0.006535
                     73,                0.97884,                 0.5411,                 1.0907,                 1.2256,                0.54663,                 1.0717,                0.94349,                0.92658,                0.95976,                0.65347,                 1.0207,                0.47872,                 1.0521,                 1.1757,                0.44106,                 1.0508,              0.0064855,              0.0064855,              0.0064855
                     74,                0.99118,                 0.5457,                  1.097,                 1.2368,                0.55351,                 1.0699,                0.94088,                0.91661,                 0.9543,                0.65395,                0.99533,                0.46899,                 1.0455,                 1.1423,                0.47525,                 1.0407,               0.006436,               0.006436,               0.006436
                     75,                0.97228,                0.53166,                 1.0924,                 1.2237,                 0.5332,                 1.0655,                0.94546,                0.92575,                0.95127,                0.64894,                 1.0078,                0.46217,                 1.0628,                 1.1503,                0.46736,                 1.0494,              0.0063865,              0.0063865,              0.0063865
                     76,                0.98088,                0.54099,                 1.0897,                 1.2319,                0.55275,                 1.0639,                0.94297,                0.91309,                0.94855,                 0.6466,                 1.0276,                0.47714,                 1.0601,                 1.1681,                0.48416,                  1.053,               0.006337,               0.006337,               0.006337
                     77,                 0.9933,                0.54523,                 1.0864,                 1.2623,                0.54891,                 1.0643,                 0.9425,                0.92147,                 0.9589,                0.65697,                 1.0043,                0.46074,                 1.0526,                 1.1496,                0.44921,                 1.0512,              0.0062875,              0.0062875,              0.0062875
                     78,                0.96175,                0.51999,                 1.0864,                 1.2089,                0.52842,                 1.0628,                0.94463,                0.91832,                0.94448,                0.65094,                0.99358,                0.47093,                  1.031,                 1.1426,                0.45097,                 1.0333,               0.006238,               0.006238,               0.006238
                     79,                  0.971,                0.52678,                 1.0989,                 1.2253,                0.52397,                 1.0777,                0.93931,                0.93613,                0.95838,                0.65567,                 1.0012,                0.46639,                 1.0377,                 1.1543,                0.42823,                 1.0417,              0.0061885,              0.0061885,              0.0061885
                     80,                0.96851,                0.53201,                 1.0859,                 1.2261,                  0.542,                 1.0622,                0.92156,                0.92251,                 0.9642,                0.65768,                0.99578,                0.46169,                 1.0354,                 1.1451,                0.46602,                 1.0379,               0.006139,               0.006139,               0.006139
                     81,                 0.9638,                0.53048,                 1.0897,                 1.2149,                0.52592,                 1.0719,                0.94961,                0.94715,                0.97559,                0.66699,                 1.0021,                0.45971,                 1.0417,                 1.1499,                0.41392,                 1.0387,              0.0060895,              0.0060895,              0.0060895
                     82,                0.98235,                0.53558,                 1.0842,                 1.2413,                0.53315,                 1.0631,                0.95332,                0.91949,                0.95873,                0.65812,                0.99604,                0.46213,                 1.0374,                 1.1295,                0.44969,                 1.0304,                0.00604,                0.00604,                0.00604
                     83,                0.96276,                0.52558,                 1.0859,                 1.2141,                0.53553,                 1.0613,                0.95062,                0.93194,                0.96081,                 0.6526,                  1.011,                0.46499,                 1.0445,                 1.1474,                0.44706,                 1.0418,              0.0059905,              0.0059905,              0.0059905
                     84,                0.96416,                0.51725,                 1.0743,                  1.218,                0.52491,                 1.0527,                0.93833,                0.93089,                0.95534,                0.65759,                0.99171,                 0.4679,                 1.0446,                  1.129,                0.46644,                 1.0356,               0.005941,               0.005941,               0.005941
                     85,                0.93822,                0.51979,                 1.0765,                 1.1858,                 0.5175,                 1.0563,                0.93248,                0.93994,                0.96308,                0.66032,                 1.0032,                0.45225,                 1.0438,                  1.143,                0.43929,                 1.0362,              0.0058915,              0.0058915,              0.0058915
                     86,                0.95566,                0.51413,                 1.0745,                 1.2223,                0.52499,                  1.055,                0.94667,                0.92932,                0.96298,                0.65887,                0.99007,                0.44727,                 1.0445,                 1.1453,                0.42319,                 1.0404,               0.005842,               0.005842,               0.005842
                     87,                0.95199,                0.51679,                 1.0815,                 1.1965,                0.51382,                 1.0572,                0.94363,                0.95812,                0.97476,                0.66802,                0.98553,                0.44819,                  1.031,                   1.13,                0.41147,                 1.0305,              0.0057925,              0.0057925,              0.0057925
                     88,                0.93595,                 0.4934,                 1.0685,                 1.1871,                0.49257,                 1.0464,                 0.9597,                0.93927,                0.97064,                0.67254,                0.97036,                0.44218,                 1.0301,                 1.1147,                0.41209,                 1.0278,               0.005743,               0.005743,               0.005743
                     89,                0.93241,                0.50595,                 1.0677,                 1.1798,                0.51494,                 1.0469,                0.94292,                0.93402,                0.96936,                0.67125,                0.97124,                0.43919,                 1.0317,                 1.1123,                0.42103,                 1.0264,              0.0056935,              0.0056935,              0.0056935
                     90,                0.95321,                0.51096,                 1.0741,                 1.2091,                0.51383,                 1.0503,                0.94433,                0.94764,                 0.9553,                  0.657,                0.98053,                0.44136,                 1.0344,                 1.1234,                0.42842,                 1.0225,               0.005644,               0.005644,               0.005644
                     91,                0.92461,                0.49692,                 1.0645,                 1.1744,                0.49761,                 1.0455,                0.96118,                0.93326,                0.97008,                0.67679,                0.96765,                0.43424,                 1.0287,                 1.1066,                0.40561,                 1.0219,              0.0055945,              0.0055945,              0.0055945
                     92,                0.94312,                0.50805,                 1.0844,                 1.1946,                0.51075,                 1.0617,                0.95597,                0.93403,                0.97262,                0.66856,                0.98011,                0.43667,                 1.0293,                  1.131,                0.40691,                 1.0235,               0.005545,               0.005545,               0.005545
                     93,                 0.9345,                0.49601,                 1.0624,                 1.1887,                0.49632,                 1.0464,                0.94498,                0.93511,                 0.9581,                0.65559,                0.98611,                0.44671,                 1.0318,                 1.1317,                0.44837,                 1.0258,              0.0054955,              0.0054955,              0.0054955
                     94,                0.93274,                0.50315,                 1.0685,                  1.185,                 0.4984,                 1.0475,                0.96288,                0.91728,                0.96575,                0.66747,                 0.9815,                0.43927,                 1.0301,                 1.1352,                0.41547,                 1.0292,               0.005446,               0.005446,               0.005446
                     95,                0.93378,                0.49595,                  1.061,                 1.1927,                  0.512,                 1.0425,                0.93867,                0.94974,                0.97262,                0.67281,                0.97534,                0.43389,                 1.0287,                  1.119,                0.40007,                 1.0217,              0.0053965,              0.0053965,              0.0053965
                     96,                0.93778,                0.50482,                 1.0663,                 1.1902,                0.50477,                 1.0524,                0.94172,                 0.9445,                0.96948,                0.67078,                0.97195,                0.43511,                 1.0228,                 1.1237,                 0.3984,                 1.0211,               0.005347,               0.005347,               0.005347
                     97,                0.94447,                0.49559,                 1.0587,                 1.1944,                0.50785,                 1.0332,                 0.9514,                0.92984,                0.96892,                0.67497,                 0.9664,                0.42965,                 1.0229,                 1.1109,                0.40661,                 1.0158,              0.0052975,              0.0052975,              0.0052975
                     98,                0.92532,                0.49272,                 1.0562,                 1.1746,                0.49213,                 1.0313,                0.96236,                0.93708,                0.97074,                0.67731,                0.95965,                 0.4188,                 1.0183,                  1.103,                0.39591,                 1.0151,               0.005248,               0.005248,               0.005248
                     99,                0.93627,                0.49505,                 1.0515,                 1.1935,                0.50522,                 1.0272,                0.94865,                0.93927,                0.97066,                0.67197,                0.96531,                0.43444,                 1.0177,                 1.1132,                0.40066,                 1.0187,              0.0051985,              0.0051985,              0.0051985
                    100,                0.91353,                0.49048,                 1.0551,                 1.1577,                0.49477,                 1.0375,                0.95855,                0.94439,                0.97586,                0.67861,                0.95815,                 0.4269,                 1.0167,                 1.1036,                0.38772,                 1.0153,               0.005149,               0.005149,               0.005149
                    101,                0.92295,                0.48774,                 1.0621,                 1.1775,                0.49755,                 1.0394,                0.93832,                 0.9558,                 0.9732,                0.67853,                0.95677,                0.42922,                 1.0098,                 1.1054,                 0.3898,                 1.0137,              0.0050995,              0.0050995,              0.0050995
                    102,                0.91702,                0.48951,                 1.0489,                  1.182,                0.48768,                 1.0324,                0.94958,                0.94655,                0.97454,                0.67501,                0.96809,                  0.431,                 1.0216,                 1.1105,                0.39174,                 1.0205,                0.00505,                0.00505,                0.00505
                    103,                0.91928,                0.48859,                 1.0564,                 1.1702,                0.48923,                 1.0361,                0.96352,                0.94136,                0.97355,                0.68063,                0.95601,                0.42618,                 1.0124,                 1.1049,                0.39096,                 1.0122,              0.0050005,              0.0050005,              0.0050005
                    104,                0.91155,                0.48807,                 1.0508,                 1.1548,                0.50059,                 1.0294,                0.95962,                 0.9445,                 0.9772,                0.67529,                0.96055,                 0.4271,                 1.0148,                 1.1144,                0.38933,                 1.0118,               0.004951,               0.004951,               0.004951
                    105,                 0.9161,                0.48546,                 1.0546,                  1.172,                0.48598,                 1.0359,                 0.9674,                0.94869,                0.97759,                0.67615,                0.96725,                0.42741,                 1.0226,                 1.1073,                0.39176,                 1.0202,              0.0049015,              0.0049015,              0.0049015
